Municipality,2017,2018,2019,2020,2021
São Fernando,48863000,46657000,52976000,55435000,63598000
São Francisco Do Oeste,38685000,46231000,50054000,50707000,54448000
São Gonçalo Do Amarante,1414685000,1582092000,1895671000,1744638000,1905023000
São João Do Sabugi,56257000,62127000,72974000,77797000,84586000
São José De Mipibu,762501000,853715000,885208000,940688000,1040964000
São José Do Campestre,94086000,99130000,108085000,116230000,125093000
São José Do Seridó,101471000,89306000,84542000,79027000,83855000
São Miguel,218349000,241701000,258995000,277712000,319744000
São Miguel Do Gostoso,419572000,280672000,299031000,368803000,492640000
São Paulo Do Potengi,162670000,191576000,209127000,219980000,231555000
São Pedro,58984000,49970000,53429000,52646000,55801000
São Rafael,70221000,76170000,81362000,85177000,88676000
São Tomé,90449000,97320000,100881000,105842000,111776000
São Vicente,62950000,67894000,69954000,71371000,76922000
Senador Elói De Souza,43396000,47883000,53090000,54071000,60476000
Senador Georgino Avelino,102989000,126628000,120330000,116848000,116487000
Serra De São Bento,45007000,46294000,51173000,51240000,57411000
Serra Do Mel,306571000,254557000,303363000,617353000,858724000
Serra Negra Do Norte,73353000,83465000,95592000,98846000,118876000
Serrinha,54688000,57749000,64213000,66698000,71899000
Serrinha Dos Pintos,37323000,39951000,43736000,46709000,49787000
Severiano Melo,41443000,45372000,52995000,59150000,63100000
Sítio Novo,42034000,43293000,47709000,48415000,53784000
Taboleiro Grande,25076000,26357000,28278000,30067000,32473000
Taipu,120768000,114950000,127011000,136398000,155199000
Tangará,137350000,171900000,185503000,192122000,201785000
Tenente Ananias,83173000,91483000,104254000,107122000,113588000
Tenente Laurentino Cruz,94070000,84549000,92226000,102889000,107286000
Tibau Do Sul,305228000,373020000,418587000,397610000,415833000
Timbaúba Dos Batistas,30008000,29768000,33885000,34565000,43618000
Touros,676606000,517008000,534519000,610444000,814845000
Triunfo Potiguar,41115000,38062000,38833000,38496000,45831000
Umarizal,129502000,127163000,136171000,140766000,151207000
Upanema,142009000,186310000,175253000,179061000,214155000
Várzea,41813000,48135000,52049000,55578000,56556000
Venha-Ver,35657000,34629000,38133000,40803000,43203000
Vera Cruz,106737000,108847000,117249000,122385000,133471000
Viçosa,15769000,17668000,20700000,21256000,23239000
Vila Flor,36889000,39799000,43059000,44401000,44404000
Água Branca,77222000,79901000,82544000,86556000,92036000
Aguiar,47394000,46221000,50141000,55808000,60096000
Alagoa Grande,266622000,256890000,276069000,281480000,300116000
Alagoa Nova,225945000,287713000,325790000,331770000,335056000
Alagoinha,108721000,109852000,114818000,122810000,138510000
Alcantil,42305000,42363000,43762000,47931000,55097000
Algodão De Jandaíra,25919000,25659000,26862000,26072000,28629000
Alhandra,1110449000,1704814000,1887486000,2216316000,3399775000
São João Do Rio Do Peixe,171752000,185444000,190655000,210505000,225531000
Amparo,24393000,25508000,26162000,27750000,29433000
Aparecida,72219000,77956000,85300000,89771000,105226000
Araçagi,167593000,155362000,162870000,170228000,185877000
Arara,98835000,100899000,105690000,107020000,112308000
Araruna,165493000,165478000,172769000,185759000,204298000
Areia,232703000,234367000,228778000,243317000,257222000
Areia De Baraúnas,18678000,19976000,20538000,22129000,26095000
Areial,52057000,52167000,54729000,60493000,62578000
Aroeiras,141195000,153209000,145996000,150935000,167985000
Assunção,36966000,37404000,39255000,42999000,48498000
Baía Da Traição,79806000,85945000,88851000,94183000,107854000
Bananeiras,232450000,238643000,236497000,249051000,278904000
Baraúna,40503000,41903000,44410000,46873000,49784000
Barra De Santana,63431000,73460000,77379000,81033000,90801000
Barra De Santa Rosa,127545000,127061000,134229000,138437000,150845000
Barra De São Miguel,46564000,59063000,65331000,72193000,84815000
Bayeux,1356045000,1338140000,1388145000,1291606000,1366842000
Belém,170525000,181127000,189864000,204353000,218067000
Belém Do Brejo Do Cruz,64521000,65860000,68207000,70188000,78557000
Bernardino Batista,31613000,33267000,36158000,37576000,40037000
Boa Ventura,41912000,43454000,44105000,45561000,51615000
Boa Vista,126851000,156071000,145468000,173207000,206387000
Bom Jesus,26206000,27278000,29363000,30186000,32051000
Bom Sucesso,41481000,41660000,44332000,47849000,54513000
Bonito De Santa Fé,95009000,91431000,94660000,94884000,96549000
Boqueirão,185220000,205675000,216451000,232197000,256636000
Igaracy,51205000,53674000,55214000,57595000,60774000
Borborema,62146000,59399000,58351000,62513000,69205000
Brejo Do Cruz,122278000,125107000,128265000,133695000,147154000
Brejo Dos Santos,51655000,53817000,54999000,57625000,64311000
Caaporã,322159000,331124000,364269000,475370000,467127000
Cabaceiras,48285000,56687000,58506000,67973000,116487000
Cabedelo,2895697000,2732464000,2921992000,2741069000,3152546000
Cachoeira Dos Índios,109479000,111254000,112016000,114596000,124811000
Cacimba De Areia,33111000,33970000,34861000,36585000,39106000
Cacimba De Dentro,123894000,128195000,133639000,141380000,154036000
Cacimbas,47318000,54319000,57175000,61659000,67103000
Caiçara,59333000,57476000,59261000,63863000,65661000
Cajazeiras,1096133000,1064232000,1128058000,1134929000,1231740000
Cajazeirinhas,30468000,32677000,35384000,37245000,42009000
Caldas Brandão,65966000,66658000,65813000,69229000,74706000
Camalaú,59381000,62808000,59950000,65448000,71642000
Campina Grande,8650089000,9152679000,9507632000,10077160000,10373107000
Capim,60048000,60017000,62122000,71116000,75638000
Caraúbas,34691000,36339000,39057000,40492000,42197000
Carrapateira,25579000,25779000,27408000,29054000,30950000
Casserengue,59294000,60634000,61165000,67366000,70018000
Catingueira,40217000,43287000,45261000,48565000,52899000
Catolé Do Rocha,380058000,393493000,438050000,456782000,505607000
Caturité,56763000,55099000,52203000,57238000,61665000
Conceição,161118000,170737000,180181000,192205000,209010000
Condado,57481000,59963000,60220000,82288000,90373000
Conde,636152000,712621000,809844000,890607000,1286990000
Congo,50494000,51573000,51456000,54649000,61704000
Coremas,141093000,150014000,142401000,196738000,249601000
Coxixola,19190000,20235000,20762000,22527000,24017000
Cruz Do Espírito Santo,127580000,133172000,151570000,165362000,191194000
Cubati,59221000,65030000,66083000,67701000,76814000
Cuité,190743000,204338000,209907000,215819000,220439000
Cuitegi,56891000,56924000,63757000,62092000,66742000
Cuité De Mamanguape,55257000,63300000,60490000,67720000,74110000
Curral De Cima,47210000,48455000,49157000,51360000,55526000
Curral Velho,19978000,22134000,23362000,24919000,26783000
Damião,41814000,42138000,42880000,46271000,50276000
Desterro,59117000,60649000,61524000,67393000,72715000
Vista Serrana,33191000,33899000,35561000,36770000,39390000
Diamante,53269000,53047000,55005000,55479000,59345000
Dona Inês,81255000,80484000,82106000,84952000,93830000
Duas Estradas,37670000,39447000,40406000,42040000,45025000
Emas,32011000,33684000,34101000,37698000,41639000
Esperança,408056000,403539000,440224000,467759000,507256000
Fagundes,87471000,92542000,93281000,101934000,105312000
Frei Martinho,26563000,28626000,29974000,28869000,30264000
Gado Bravo,64867000,64606000,66691000,69557000,76211000
Guarabira,947355000,959201000,1086632000,1057345000,1790168000
Gurinhém,134905000,132791000,130027000,137913000,150970000
Gurjão,30537000,31540000,32357000,35154000,38324000
Ibiara,47407000,48669000,49677000,52443000,57772000
Imaculada,75523000,76537000,83883000,90919000,98314000
Ingá,155991000,165950000,179280000,196937000,194961000
Itabaiana,273668000,287143000,308011000,318024000,335812000
Itaporanga,273904000,279755000,299852000,308928000,341235000
Itapororoca,172236000,172664000,182845000,189740000,206433000
Itatuba,105331000,111435000,124482000,141887000,155216000
Jacaraú,120942000,125942000,135502000,147576000,165130000
Jericó,62623000,64623000,68120000,71029000,76303000
João Pessoa,19740717000,19810216000,20846014000,20728227000,22244284000
Juarez Távora,63093000,62800000,62263000,71196000,73121000
Juazeirinho,154338000,172349000,184579000,190200000,210329000
Junco Do Seridó,65187000,69906000,72918000,79427000,96602000
Juripiranga,99769000,97969000,103485000,111256000,117363000
Juru,74008000,73573000,75825000,80599000,87266000
Lagoa,37793000,37904000,40085000,47492000,51232000
Lagoa De Dentro,71622000,72719000,74351000,78625000,83537000
Lagoa Seca,259417000,272294000,280830000,291431000,309763000
Lastro,26081000,26244000,26142000,27702000,29495000
Livramento,57242000,56863000,58078000,62097000,70043000
Logradouro,37488000,40158000,41638000,43953000,48651000
Lucena,187693000,193942000,181993000,200775000,223066000
Mãe D'Água,31494000,32570000,33679000,36835000,38604000
Malta,49597000,54406000,53655000,73005000,79659000
Mamanguape,625220000,636866000,689371000,692471000,805007000
Manaíra,72421000,75930000,79276000,86797000,101428000
Marcação,72367000,76637000,80691000,87609000,95670000
Mari,191180000,200781000,216414000,221024000,241807000
Marizópolis,61344000,62285000,69767000,72834000,81944000
Massaranduba,102104000,108062000,113385000,123178000,130381000
Mataraca,185237000,228470000,204886000,225449000,240531000
Matinhas,41686000,46851000,49239000,51308000,54035000
Mato Grosso,25504000,25940000,27427000,28766000,31801000
Maturéia,50512000,51351000,54064000,55539000,61811000
Mogeiro,129981000,128304000,135376000,164346000,164372000
Montadas,61437000,46844000,48751000,52421000,55245000
Monte Horebe,36881000,36491000,36239000,43364000,48074000
Monteiro,495876000,523757000,576911000,577991000,635380000
Mulungu,76930000,76535000,81247000,88690000,98150000
Natuba,80816000,81796000,85890000,92138000,95465000
Nazarezinho,57529000,58108000,58979000,60640000,65965000
Nova Floresta,82903000,84849000,88924000,90901000,99606000
Nova Olinda,47954000,48725000,51579000,52554000,57802000
Nova Palmeira,39415000,41784000,43449000,42407000,48983000
Olho D'Água,56662000,54296000,54960000,58388000,61851000
Olivedos,35220000,36493000,38411000,39888000,43585000
Ouro Velho,31212000,30760000,31562000,34621000,38279000
Parari,18614000,18847000,20121000,20862000,21495000
Passagem,24339000,23467000,23848000,26665000,28860000
Patos,1712176000,1714453000,1914109000,1920850000,1993586000
Paulista,119574000,133547000,137826000,143653000,157014000
Pedra Branca,32502000,30948000,32176000,35397000,37463000
Pedra Lavrada,68826000,71564000,71904000,73973000,80075000
Pedras De Fogo,425426000,393917000,414401000,537487000,556476000
Piancó,179588000,185591000,189520000,190593000,206302000
Picuí,176531000,181822000,192775000,204776000,213192000
Pilar,92900000,97033000,103679000,112886000,121700000
Pilões,87417000,76199000,74876000,84386000,95436000
Pilõezinhos,43675000,47302000,49336000,53523000,51216000
Pirpirituba,85036000,87566000,88955000,90649000,95103000
Pitimbu,265290000,257659000,318574000,375323000,430316000
Pocinhos,233676000,230942000,242455000,271743000,284640000
Poço Dantas,33453000,34385000,36982000,36279000,40230000
Poço De José De Moura,40622000,40474000,41563000,44284000,46792000
Pombal,381280000,391719000,415781000,427189000,465068000
Prata,49194000,52745000,52306000,58675000,64688000
Princesa Isabel,212930000,226137000,251496000,255527000,266345000
Puxinanã,97324000,103402000,108222000,121586000,137837000
Queimadas,465675000,484723000,508783000,529576000,605759000
Quixabá,22352000,22604000,23064000,23491000,26746000
Remígio,168974000,166495000,174139000,174742000,181360000
Pedro Régis,46843000,48160000,49891000,52413000,57186000
Riachão,30886000,31897000,31569000,33810000,36492000
Riachão Do Bacamarte,40960000,42205000,45204000,47129000,50101000
Riachão Do Poço,43856000,45065000,47441000,52178000,56187000
Riacho De Santo Antônio,21693000,24935000,26247000,26824000,30562000
Riacho Dos Cavalos,70509000,73248000,82052000,85060000,92585000
Rio Tinto,238589000,244360000,266761000,288050000,321971000
Salgadinho,25439000,26935000,27904000,30834000,33444000
Salgado De São Félix,111521000,125550000,117941000,129094000,128636000
Santa Cecília,53031000,53260000,54403000,58691000,65649000
Santa Cruz,55394000,54433000,56360000,58426000,62114000
Santa Helena,49397000,51808000,53391000,58867000,62162000
Santa Inês,29071000,29635000,31237000,33950000,36756000
Santa Luzia,198367000,218818000,224905000,294590000,372292000
Santana De Mangueira,40149000,42290000,43959000,45660000,51046000
Santana Dos Garrotes,53616000,55670000,56925000,62247000,67142000
Joca Claudino,26687000,27344000,28513000,30035000,33004000
Santa Rita,2222754000,2382776000,2568775000,2564208000,2616825000
Santa Teresinha,44622000,43939000,44868000,48039000,57191000
Santo André,24161000,25552000,26240000,29073000,29350000
São Bento,425782000,434317000,475598000,489840000,567017000
São Bentinho,40297000,46242000,48814000,49403000,55030000
São Domingos Do Cariri,23775000,23920000,24657000,26608000,28699000
São Domingos,28149000,28939000,29978000,32174000,36167000
São Francisco,31962000,33992000,35072000,36640000,39118000
São João Do Cariri,42852000,44577000,44397000,49302000,55295000
São João Do Tigre,34027000,34985000,35335000,37784000,40920000
São José Da Lagoa Tapada,57795000,58805000,62359000,63367000,71954000
São José De Caiana,46278000,47226000,47852000,51229000,55614000
São José De Espinharas,48505000,47290000,45088000,51509000,54850000
São José Dos Ramos,46981000,47511000,48449000,54053000,86595000
São José De Piranhas,175932000,190391000,204438000,220330000,230383000
São José De Princesa,29101000,29428000,30640000,33739000,34031000
São José Do Bonfim,27324000,28685000,29332000,30000000,32366000
São José Do Brejo Do Cruz,23009000,23717000,25235000,26357000,29091000
São José Do Sabugi,59405000,117398000,94219000,96333000,125142000
São José Dos Cordeiros,28623000,30914000,32198000,34399000,36927000
São Mamede,69263000,70473000,70042000,75709000,82238000
São Miguel De Taipu,62373000,65150000,68316000,78432000,82626000
São Sebastião De Lagoa De Roça,86631000,94446000,94617000,99912000,105791000
São Sebastião Do Umbuzeiro,31038000,32515000,32818000,35164000,40405000
Sapé,529919000,551442000,609459000,632982000,675778000
São Vicente do Seridó,68137000,72696000,72478000,79693000,89888000
Serra Branca,117769000,124866000,130601000,135502000,147662000
Serra Da Raiz,31487000,32307000,33045000,34551000,37034000
Serra Grande,48355000,27890000,27992000,29544000,33183000
Serra Redonda,59669000,60231000,64517000,71738000,71218000
Serraria,58897000,57409000,57632000,62035000,67690000
Sertãozinho,46042000,47488000,48449000,52365000,54676000
Sobrado,86885000,87665000,94273000,97028000,112659000
Solânea,264121000,281838000,300660000,325719000,353078000
Soledade,170487000,165720000,177928000,186551000,203480000
Sossêgo,31231000,32629000,34134000,35789000,38719000
Sousa,1085629000,1111339000,1176421000,1254399000,1318529000
Sumé,174663000,173819000,184531000,195666000,200877000
Tacima,74792000,76929000,79758000,83622000,91696000
Taperoá,123155000,122291000,119113000,132766000,139192000
Tavares,108713000,115063000,120693000,130736000,139900000
Teixeira,135528000,137425000,143750000,153304000,169085000
Tenório,28110000,28253000,29480000,30628000,34478000
Triunfo,74713000,73384000,74812000,81016000,87468000
Uiraúna,162924000,164776000,173818000,178336000,192520000
Umbuzeiro,72567000,74204000,76567000,83715000,91142000
Várzea,29715000,30165000,31479000,34061000,37561000
Vieirópolis,41396000,41976000,41819000,45289000,52689000
Zabelê,22411000,23808000,23477000,25100000,26961000
Abreu E Lima,2003007000,1725557000,1574273000,1618173000,1724258000
Afogados Da Ingazeira,405079000,436230000,461055000,481055000,541816000
Afrânio,166121000,165035000,176836000,283519000,209815000
Agrestina,248233000,254425000,278569000,310851000,352858000
Água Preta,239859000,245566000,253755000,247381000,259866000
Águas Belas,334358000,348814000,359902000,376056000,401111000
Alagoinha,124657000,132917000,138073000,140520000,144945000
Aliança,313640000,313549000,325838000,326748000,413314000
Altinho,153946000,171951000,267499000,194174000,222589000
Amaraji,209645000,222706000,227974000,269316000,294407000
Angelim,113953000,118503000,134643000,127555000,142260000
Araçoiaba,139010000,139546000,145664000,161996000,161884000
Araripina,987505000,1032652000,1030980000,1035533000,1272092000
Arcoverde,977866000,1007779000,1054119000,1240609000,1215383000
Barra De Guabiraba,101790000,130011000,131668000,142607000,146943000
Barreiros,429669000,424829000,446322000,468537000,503988000
Belém De Maria,76805000,80045000,90944000,90872000,99499000
Belém do São Francisco,203139000,304252000,290036000,367362000,366293000
Belo Jardim,1805502000,1883292000,2315136000,2213907000,2765036000
Betânia,89777000,87831000,100180000,101589000,105307000
Bezerros,711513000,721912000,770298000,814475000,962826000
Bodocó,247355000,276852000,292660000,295451000,317010000
Bom Conselho,481173000,503864000,528716000,563851000,643151000
Bom Jardim,339995000,327138000,329306000,347772000,366988000
Bonito,402865000,390529000,452855000,461555000,539340000
Brejão,168368000,144891000,157478000,197511000,183679000
Brejinho,51751000,55557000,62708000,70039000,83879000
Brejo Da Madre De Deus,353158000,375202000,430379000,466009000,461357000
Buenos Aires,91098000,103050000,109169000,117828000,133152000
Buíque,411031000,407034000,447859000,479641000,549015000
Cabo De Santo Agostinho,10031202000,9756949000,10592039000,10786158000,13706389000
Cabrobó,404210000,384495000,392234000,404150000,440863000
Cachoeirinha,202167000,218011000,215776000,216361000,254369000
Caetés,417640000,486416000,337725000,357024000,423727000
Calçado,90310000,93553000,100711000,120260000,115299000
Calumbi,47504000,50245000,51812000,50508000,50300000
Camaragibe,1756760000,1850658000,2078544000,2100775000,2229680000
Camocim De São Félix,160771000,153607000,160739000,156658000,181161000
Camutanga,190588000,129393000,213024000,256335000,285369000
Canhotinho,192954000,189300000,206759000,222216000,253171000
Capoeiras,198956000,212826000,210824000,219952000,244054000
Carnaíba,144904000,154579000,172317000,180454000,193546000
Carnaubeira Da Penha,77107000,78601000,80968000,84243000,83423000
Carpina,1318644000,1447344000,1455180000,1634471000,1744915000
Caruaru,6874476000,7147897000,7962014000,7703430000,8663525000
Casinhas,90218000,94887000,95651000,101910000,101521000
Catende,289144000,285711000,312172000,342400000,360566000
Cedro,87530000,88577000,97086000,102211000,125401000
Chã De Alegria,137538000,149109000,140594000,143310000,168758000
Chã Grande,207865000,199845000,215584000,232179000,251193000
Condado,214311000,221435000,231252000,238490000,250915000
Correntes,151074000,149819000,169414000,177708000,192016000
Cortês,105235000,119298000,116912000,115313000,121502000
Cumaru,97608000,96890000,96364000,109985000,109260000
Cupira,265406000,263954000,259819000,263117000,283576000
Custódia,428276000,497247000,459027000,491392000,593880000
Dormentes,214781000,217241000,223981000,235349000,246023000
Escada,871233000,989053000,1079199000,1078851000,1306431000
Exu,238194000,268481000,293083000,315010000,325117000
Feira Nova,190754000,191029000,214727000,240458000,247550000
Fernando De Noronha,153534000,161373000,190633000,117533000,229562000
Ferreiros,106839000,112179000,107603000,108572000,132503000
Flores,183259000,170087000,166482000,169045000,192902000
Floresta,412537000,417435000,416220000,411261000,445213000
Frei Miguelinho,108779000,115765000,122292000,124948000,131441000
Gameleira,205405000,220789000,232992000,237375000,274258000
Garanhuns,2342216000,2441500000,2770471000,2786055000,3077112000
Glória Do Goitá,479264000,456510000,495976000,477656000,554616000
Goiana,9154029000,9225149000,9674189000,7036988000,10662964000
Granito,57273000,68590000,68548000,73447000,78432000
Gravatá,1068764000,1124633000,1207262000,1225155000,1359681000
Iati,148614000,162031000,167545000,187704000,195800000
Ibimirim,255886000,259446000,293004000,317197000,330119000
Ibirajuba,60412000,60773000,62972000,69131000,85527000
Igarassu,2479515000,2530161000,2861749000,2852109000,3471427000
Iguaracy,87799000,89710000,96212000,98681000,112369000
Inajá,155264000,167120000,178443000,190611000,196880000
Ingazeira,34026000,36207000,38523000,41171000,50497000
Ipojuca,10892224000,11566787000,11899475000,12048973000,14929346000
Ipubi,269160000,293126000,299202000,337742000,340374000
Itacuruba,53413000,55396000,61800000,64962000,71286000
Itaíba,204578000,215564000,229699000,258313000,283413000
Ilha De Itamaracá,239364000,249443000,256491000,267802000,299232000
Itambé,494818000,424626000,488724000,500403000,522657000
Itapetim,102328000,109349000,116148000,125474000,139873000
Itapissuma,1398744000,1562740000,1882191000,2140599000,2383641000
Itaquitinga,129665000,131862000,138020000,137402000,160857000
Jaboatão Dos Guararapes,13540091000,13359060000,15155644000,14644558000,16133556000
Jaqueira,101857000,108723000,100929000,102742000,111801000
Jataúba,119044000,124644000,134584000,143349000,154862000
Jatobá,122689000,125023000,132251000,140164000,153793000
João Alfredo,272380000,292039000,290882000,293275000,316644000
Joaquim Nabuco,125465000,183224000,185052000,188148000,181310000
Jucati,103835000,100434000,117532000,124970000,129270000
Jupi,153355000,155510000,156231000,165240000,214224000
Jurema,118749000,104194000,110262000,113755000,132840000
Lagoa Do Carro,228047000,247482000,279118000,266055000,300635000
Lagoa De Itaenga,309511000,320517000,355379000,464204000,482859000
Lagoa Do Ouro,112483000,115748000,120068000,128919000,139223000
Lagoa Dos Gatos,128980000,140210000,114156000,117449000,135443000
Lagoa Grande,327416000,320781000,384123000,387064000,456844000
Lajedo,451077000,446606000,497826000,505995000,585576000
Limoeiro,743385000,775996000,796794000,776898000,838343000
Macaparana,242580000,238643000,278065000,285843000,283578000
Machados,200850000,212060000,192086000,202490000,216295000
Manari,118784000,122111000,132867000,144866000,139153000
Maraial,85685000,87369000,87289000,94348000,92490000
Mirandiba,155980000,151207000,155292000,152041000,163406000
Moreno,682721000,656957000,691530000,771462000,892506000
Nazaré Da Mata,520236000,527639000,558647000,587929000,688468000
Olinda,5437636000,5534197000,5524358000,5414452000,5788250000
Orobó,333792000,321650000,353878000,371057000,398794000
Orocó,151483000,173748000,186316000,173815000,186448000
Ouricuri,612240000,666759000,712402000,716376000,780513000
Palmares,833618000,800113000,859445000,850533000,924146000
Palmeirina,72513000,68730000,72697000,75112000,79959000
Panelas,175759000,190136000,196905000,211055000,229556000
Paranatama,242841000,285815000,219608000,214356000,285773000
Parnamirim,163905000,166862000,192621000,199391000,213190000
Passira,219998000,224556000,232538000,234325000,264547000
Paudalho,758366000,796735000,868525000,836293000,926328000
Paulista,4018623000,4190121000,5069422000,4939669000,5591652000
Pedra,243944000,249141000,242611000,259390000,306398000
Pesqueira,691904000,688578000,732154000,774355000,869651000
Petrolândia,1078866000,1329896000,1462418000,1764766000,1675876000
Petrolina,5988818000,6686069000,7137560000,7079376000,7994036000
Poção,85549000,83989000,90142000,91996000,102107000
Pombos,363983000,365651000,403822000,401932000,532583000
Primavera,168864000,158397000,165871000,223763000,291696000
Quipapá,175507000,179653000,184578000,185371000,192325000
Quixaba,49179000,53034000,56198000,56929000,67064000
Recife,51839333000,52404684000,53477669000,49497048000,54970305000
Riacho Das Almas,166293000,181668000,199237000,219344000,260563000
Ribeirão,387435000,447034000,432568000,490575000,576407000
Rio Formoso,259964000,265242000,275272000,321062000,379871000
Sairé,144528000,125413000,134526000,166933000,176225000
Salgadinho,62142000,67496000,76373000,81526000,80938000
Salgueiro,792338000,858900000,975936000,969253000,1002105000
Saloá,143490000,127179000,148188000,156672000,171051000
Sanharó,193910000,199185000,210825000,218558000,248264000
Santa Cruz,100486000,108712000,119781000,130849000,133592000
Santa Cruz Da Baixa Verde,83542000,90590000,100321000,104945000,113554000
Santa Cruz Do Capibaribe,1428003000,1511758000,1734719000,1765799000,1925734000
Santa Filomena,91193000,97973000,100976000,109854000,111830000
Santa Maria Da Boa Vista,516363000,659712000,647268000,594509000,564000000
Santa Maria Do Cambucá,101705000,102554000,112893000,113534000,122262000
Santa Terezinha,81836000,85903000,92575000,97654000,114824000
São Benedito Do Sul,96157000,96599000,104326000,106895000,117017000
São Bento Do Una,953021000,1085466000,1277816000,1329672000,1485706000
São Caitano,350467000,357382000,388184000,405963000,447679000
São João,202370000,224887000,233734000,250269000,390211000
São Joaquim Do Monte,168133000,160376000,163642000,171034000,185467000
São José Da Coroa Grande,251044000,231866000,248038000,257672000,291007000
São José Do Belmonte,256606000,271906000,290107000,301990000,341544000
São José Do Egito,362827000,384202000,411235000,403604000,441117000
São Lourenço Da Mata,1107233000,1180681000,1214865000,1295527000,1444200000
São Vicente Ferrer,235668000,213149000,272360000,214594000,209528000
Serra Talhada,1336854000,1373071000,1488492000,1512687000,1693347000
Serrita,136759000,134469000,138026000,147688000,161153000
Sertânia,278580000,492188000,555501000,368687000,367389000
Sirinhaém,482254000,489112000,512850000,641974000,722495000
Moreilândia,81056000,81823000,86369000,91262000,90987000
Solidão,41238000,43969000,46335000,48804000,56661000
Surubim,771621000,753827000,804828000,824127000,915558000
Tabira,249010000,265323000,283792000,281326000,314903000
Tacaimbó,126850000,162561000,194985000,153683000,149159000
Tacaratu,170629000,173299000,182364000,204481000,251978000
Tamandaré,285437000,288748000,331617000,341413000,395834000
Taquaritinga Do Norte,264907000,280491000,306420000,296350000,334642000
Terezinha,51415000,61735000,64607000,68556000,75618000
Terra Nova,67358000,68546000,73265000,82903000,95262000
Timbaúba,646914000,680166000,690957000,712976000,746607000
Toritama,624256000,654925000,710556000,671818000,764572000
Tracunhaém,101545000,117338000,140454000,149522000,176619000
Trindade,281806000,315848000,359356000,353114000,419024000
Triunfo,138856000,142026000,148914000,150016000,157358000
Tupanatinga,184072000,186211000,198515000,210819000,227130000
Tuparetama,75771000,78740000,82079000,79350000,89139000
Venturosa,207678000,215673000,211438000,226370000,247349000
Verdejante,64763000,68365000,77953000,73539000,80931000
Vertente Do Lério,67084000,60023000,65421000,72094000,74060000
Vertentes,153694000,160054000,192428000,188227000,194511000
Vicência,357346000,344567000,470533000,443008000,519426000
Vitória De Santo Antão,3691415000,3718470000,3729011000,4026209000,4551843000
Xexéu,104721000,123570000,128909000,135422000,141411000
Água Branca,136648000,141121000,159756000,166359000,202655000
Anadia,141403000,164867000,200940000,232193000,250457000
Arapiraca,4104162000,4466701000,4964721000,5227364000,5915938000
Atalaia,766075000,763995000,948281000,1075577000,1500344000
Barra De Santo Antônio,160796000,177229000,183872000,205049000,262005000
Barra De São Miguel,171264000,194584000,214359000,228783000,238431000
Batalha,174238000,167211000,170568000,190218000,229933000
Belém,38220000,84427000,113034000,179162000,191318000
Belo Monte,83338000,79110000,100408000,116380000,151387000
Boca Da Mata,268988000,329475000,352915000,450141000,506028000
Branquinha,395000000,497048000,505624000,690877000,775410000
Cacimbinhas,88262000,94176000,101777000,115898000,140461000
Cajueiro,171715000,183724000,176176000,193596000,207869000
Campestre,63955000,58327000,62310000,61927000,87759000
Campo Alegre,496451000,459429000,521383000,605451000,734648000
Campo Grande,83662000,85648000,92791000,90959000,106114000
Canapi,108273000,117407000,125447000,134663000,166475000
Capela,179071000,183936000,189975000,213771000,247981000
Carneiros,57365000,61911000,66066000,70654000,90775000
Chã Preta,108854000,115658000,115608000,135058000,175471000
Coité Do Nóia,102268000,98586000,130875000,147246000,211484000
Colônia Leopoldina,252184000,257649000,263536000,368440000,397369000
Coqueiro Seco,67040000,69025000,74803000,77822000,96036000
Coruripe,1376189000,1272690000,1401650000,1734702000,1782442000
Craíbas,196579000,217099000,248592000,316005000,480702000
Delmiro Gouveia,475706000,519436000,571343000,620871000,673800000
Dois Riachos,77918000,73701000,77901000,86014000,105248000
Estrela De Alagoas,104607000,116202000,116730000,126880000,154329000
Feira Grande,284595000,324947000,328283000,350120000,427545000
Feliz Deserto,108823000,125353000,102975000,126836000,164023000
Flexeiras,175287000,144362000,213006000,269903000,297765000
Girau Do Ponciano,322917000,343756000,380191000,481235000,549523000
Ibateguara,140477000,134665000,142828000,146332000,196463000
Igaci,181926000,197218000,218611000,262742000,311914000
Igreja Nova,384927000,350831000,385218000,438109000,571817000
Inhapi,112130000,117784000,131983000,141139000,174741000
Jacaré Dos Homens,52055000,46268000,52977000,63505000,74940000
Jacuípe,171513000,171437000,163303000,153501000,194514000
Japaratinga,159426000,161307000,174950000,181455000,251980000
Jaramataia,53735000,52962000,52941000,61983000,77882000
Jequiá Da Praia,249216000,209525000,254848000,283373000,381989000
Joaquim Gomes,315272000,261104000,341902000,338304000,520955000
Jundiá,45591000,46351000,47368000,44205000,54787000
Junqueiro,353682000,316730000,348848000,424741000,550024000
Lagoa Da Canoa,157570000,203816000,208484000,239946000,273016000
Limoeiro De Anadia,458698000,409364000,508746000,541302000,685127000
Maceió,21841866000,22397272000,23367034000,22926010000,27484016000
Major Isidoro,175715000,176069000,193711000,208390000,283425000
Maragogi,673421000,629145000,692510000,704916000,1118831000
Maravilha,66399000,67674000,69776000,79682000,90740000
Marechal Deodoro,1922611000,1925916000,2404106000,2839263000,3409483000
Maribondo,137631000,144135000,154730000,162548000,187982000
Mar Vermelho,31844000,36989000,39387000,54433000,50940000
Mata Grande,189505000,223449000,246086000,307618000,354594000
